model_id,disease_category,publication_year,year_source,journal,doi
MODEL2203300002,covid_files,2023,publication_block,"GigaByte (Hong Kong, China)",
MODEL2003020001,covid_files,2020,publication_block,Bioinformatics,
MODEL2010280002,covid_files,2020,publication_block,Life Science Alliance,10.26508/LSA.202000869
MODEL2311070005,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070002,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070003,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070004,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2203300001,covid_files,2023,publication_block,"GigaByte (Hong Kong, China)",10.46471/gigabyte.80
MODEL2202240001,covid_files,2023,publication_block,PLoS computational biology,10.1371/journal.pcbi.1010903
MODEL2311070001,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2311070006,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2007210001,covid_files,2021,publication_block,Life Science Alliance,10.26508/lsa.202000954
MODEL2311070007,covid_files,2022,publication_block,Preprints,10.20944/preprints202210.0223.v1
MODEL2209020001,covid_files,2022,firstPublished,N/A,
MODEL2401170001,covid_files,2024,publication_block,Biophysical journal,10.1016/j.bpj.2023.12.026
MODEL2402280001,covid_files,2022,publication_block,Viruses,10.3390/v14051103
MODEL2502220001,covid_files,2026,publication_block,PloS one,
MODEL2202230002,covid_files,2022,publication_block,Preprint,
MODEL2111170001,covid_files,2021,publication_block,Royal Society open science,
MODEL2109130003,covid_files,2022,firstPublished,N/A,
MODEL2503040001,covid_files,2025,publication_block,Viruses,10.1101/2024.08.19.608570
MODEL2212310001,covid_files,2021,publication_block,The Lancet Global Health,
MODEL2504120001,covid_files,2024,publication_block,Nature communications,10.1038/s41467-024-47556-2
MODEL2212160001,covid_files,2022,publication_block,Viruses,10.3390/v14030605
BIOMD0000000979,covid_files,2020,publication_block,"Chaos, solitons, and fractals",
BIOMD0000000962,covid_files,2020,publication_block,"Quantitative biology (Beijing, China)",
BIOMD0000000991,covid_files,2020,publication_block,"Chaos, solitons, and fractals",
BIOMD0000000955,covid_files,2020,publication_block,Nature medicine,
BIOMD0000000964,covid_files,2020,publication_block,BMC research notes,
BIOMD0000000963,covid_files,2020,publication_block,Nature medicine,
BIOMD0000000970,covid_files,2020,publication_block,Journal of medical virology,
BIOMD0000000984,covid_files,2020,publication_block,Journal of medical virology,
BIOMD0000000983,covid_files,2020,publication_block,Epidemiology and infection,
BIOMD0000000977,covid_files,2020,publication_block,"Chaos, solitons, and fractals",
BIOMD0000000976,covid_files,2020,publication_block,"Chaos, solitons, and fractals",
BIOMD0000000982,covid_files,2020,publication_block,Scientific reports,
BIOMD0000000971,covid_files,2020,publication_block,Journal of clinical medicine,
BIOMD0000000978,covid_files,2020,publication_block,PloS one,
BIOMD0000000957,covid_files,2020,publication_block,Infectious Disease Modelling,
BIOMD0000000969,covid_files,2020,publication_block,Health & place,
BIOMD0000000956,covid_files,2020,publication_block,Proceedings of the National Academy of Sciences of the United States of America,
BIOMD0000000960,covid_files,2020,publication_block,PloS one,
