observableId	simulationConditionId	measurement	time	noiseParameters	observableParameters
ab_prev_1x	Ethiopia	0.232	266	0.05611788279436673	
ab_prev_2x	Ethiopia	0.026	266	0.010259163973645815	
ab_prev_2x	Ethiopia	0.05	295	0.033856200662894395	
ab_prev_1x	Ethiopia	0.37	295	0.15388382873853043	
ab_prev_1x	Ethiopia	0.389	301	0.16872117053012695	
ab_prev_2x	Ethiopia	0.053	301	0.03837603194878322	
ab_prev_1x	Ethiopia	0.537	310	0.15997547994368	
ab_prev_2x	Ethiopia	0.134	310	0.09202446832570714	
ab_prev_1x	Ethiopia	0.365	313	0.17764582663474685	
ab_prev_2x	Ethiopia	0.041	313	0.036707637133195976	
ab_prev_2x	Ethiopia	0.023	320	0.02358046999446998	
ab_prev_1x	Ethiopia	0.341	320	0.14793300762004458	
ab_prev_1x	Ethiopia	0.458	328	0.15915147265068702	
ab_prev_2x	Ethiopia	0.145	328	0.0981055461580719	
ab_prev_2x	Ethiopia	0.102	346	0.06829396964362067	
ab_prev_1x	Ethiopia	0.417	346	0.17473669323520463	
ab_prev_2x	Ethiopia	0.08	347	0.05904838283001599	
ab_prev_1x	Ethiopia	0.494	347	0.1575382080143696	
ab_prev_2x	Ethiopia	0.029	359	0.0323057765508785	
ab_prev_1x	Ethiopia	0.386	359	0.1734482017310715	
ab_prev_2x	Ethiopia	0.079	385	0.04539822910638496	
ab_prev_1x	Ethiopia	0.564	385	0.15912072926493806	
ab_prev_2x	Ethiopia	0.172	391	0.07173187159402979	
ab_prev_1x	Ethiopia	0.629	391	0.15073428226414579	
ab_prev_2x	Ethiopia	0.15	512	0.06643352681809027	
ab_prev_1x	Ethiopia	0.527	512	0.14494989364440103	
ab_prev_2x	Ethiopia	0.218	524	0.09551101306900305	
ab_prev_1x	Ethiopia	0.491	524	0.14732824468990527	
ab_prev_2x	Ethiopia	0.208	530	0.09061828665837779	
ab_prev_1x	Ethiopia	0.59	530	0.16025174717012303	
ab_prev_1x	Ethiopia	0.536	543	0.15776368268381877	
ab_prev_2x	Ethiopia	0.311	543	0.1407374561755168	
ab_prev_2x	Ethiopia	0.806	740	0.16435354969667296	
ab_prev_1x	Ethiopia	0.161	740	0.049416199198507295	
ab_prev_1x	Ethiopia	0.207	747	0.05318692517719982	
ab_prev_2x	Ethiopia	0.772	747	0.1434560715934803	
ab_prev_2x	Ethiopia	0.639	754	0.14307078784985552	
ab_prev_1x	Ethiopia	0.355	754	0.12132921512328963	
ab_prev_1x	Ethiopia	0.155	757	0.04568140775819105	
ab_prev_2x	Ethiopia	0.845	757	0.16092526272352953	
var_inc_0	Ethiopia	0.714	216	0.1136049659916102	
var_inc_1	Ethiopia	0.286	216	0.18619353682152098	
var_inc_2	Ethiopia	0.0	216	0.21454443703942125	
var_inc_3	Ethiopia	0.0	216	0.21437510467908785	
var_inc_4	Ethiopia	0.0	216	0.21482609967760627	
var_inc_5	Ethiopia	0.0	216	0.21757322955199007	
var_inc_6	Ethiopia	0.0	216	0.21586305404000833	
var_inc_7	Ethiopia	0.0	216	0.21596911858615098	
var_inc_0	Ethiopia	0.8	247	0.12489332135505737	
var_inc_1	Ethiopia	0.2	247	0.2122488488032904	
var_inc_2	Ethiopia	0.0	247	0.2262704288202789	
var_inc_3	Ethiopia	0.0	247	0.2268658524936264	
var_inc_4	Ethiopia	0.0	247	0.22576386966342715	
var_inc_5	Ethiopia	0.0	247	0.227732646328692	
var_inc_6	Ethiopia	0.0	247	0.22496703586426742	
var_inc_7	Ethiopia	0.0	247	0.22688044257197548	
var_inc_0	Ethiopia	0.8	277	0.12393776262458535	
var_inc_1	Ethiopia	0.2	277	0.21140927232317272	
var_inc_2	Ethiopia	0.0	277	0.22449965636280406	
var_inc_3	Ethiopia	0.0	277	0.22740269638607094	
var_inc_4	Ethiopia	0.0	277	0.22813088394535133	
var_inc_5	Ethiopia	0.0	277	0.22579615317925275	
var_inc_6	Ethiopia	0.0	277	0.2243033748007863	
var_inc_7	Ethiopia	0.0	277	0.22409026090155035	
var_inc_0	Ethiopia	0.419	311	0.09770038413443452	
var_inc_1	Ethiopia	0.209	311	0.17663023023974367	
var_inc_2	Ethiopia	0.349	311	0.12121245842398737	
var_inc_3	Ethiopia	0.023	311	0.07418525363264203	
var_inc_4	Ethiopia	0.0	311	0.045138848276782696	
var_inc_5	Ethiopia	0.0	311	0.04576686529400309	
var_inc_6	Ethiopia	0.0	311	0.04579403409237804	
var_inc_7	Ethiopia	0.0	311	0.04556529597020434	
var_inc_0	Ethiopia	0.303	333	0.11894482763295329	
var_inc_1	Ethiopia	0.25	333	0.14433171561584252	
var_inc_2	Ethiopia	0.368	333	0.09099718934625158	
var_inc_3	Ethiopia	0.079	333	0.09383512208831321	
var_inc_4	Ethiopia	0.0	333	0.026514948408960577	
var_inc_5	Ethiopia	0.0	333	0.026079269108639242	
var_inc_6	Ethiopia	0.0	333	0.025489235414942683	
var_inc_7	Ethiopia	0.0	333	0.02632752740093559	
var_inc_0	Ethiopia	0.258	369	0.11121164331480965	
var_inc_1	Ethiopia	0.124	369	0.06907986767652728	
var_inc_2	Ethiopia	0.619	369	0.07600630606871278	
var_inc_3	Ethiopia	0.0	369	0.012733777583595871	
var_inc_4	Ethiopia	0.0	369	0.012611863421835885	
var_inc_5	Ethiopia	0.0	369	0.01251474831537558	
var_inc_6	Ethiopia	0.0	369	0.012622101586612334	
var_inc_7	Ethiopia	0.0	369	0.012626996803234763	
