model_id,disease_category,publication_year,journal,doi
MODEL2503040001,hiv_files,2025,Viruses,
MODEL1805230001,hiv_files,2009,Mathematical biosciences and engineering : MBE,
MODEL1302180001,hiv_files,2013,PLoS biology,
MODEL1006230035,hiv_files,1993,Mathematical biosciences,
MODEL1006230075,hiv_files,1993,Mathematical biosciences,
MODEL1006230081,hiv_files,1995,Mathematical biosciences,
MODEL1006230093,hiv_files,1993,Mathematical biosciences,
MODEL1006230033,hiv_files,1995,Mathematical biosciences,
MODEL1812040004,hiv_files,2011,Bio Systems,
MODEL1812040002,hiv_files,2013,Mathematical biosciences,
MODEL1006230050,hiv_files,1996,"Science (New York, N.Y.)",
MODEL1302180002,hiv_files,2013,PLoS biology,
MODEL1006230055,hiv_files,1998,Mathematical biosciences,
MODEL4028801312,hiv_files,2007,PLoS medicine,
MODEL8102792069,hiv_files,2000,Mathematical biosciences,
BIOMD0000000874,hiv_files,1993,Mathematical biosciences,
BIOMD0000000683,hiv_files,1999,Proceedings of the National Academy of Sciences of the United States of America,
BIOMD0000000967,hiv_files,1991,"AIDS (London, England)",
BIOMD0000000573,hiv_files,2014,Journal of theoretical biology,
BIOMD0000000876,hiv_files,2019,Applied Mathematical Modelling,
BIOMD0000000663,hiv_files,2007,Mathematical biosciences,
BIOMD0000000872,hiv_files,2019,PLoS ONE,
BIOMD0000000875,hiv_files,2000,Mathematical biosciences,
BIOMD0000000707,hiv_files,2003,Mathematical biosciences,
MODEL2311070004,dengue_files,2022,Preprints,
MODEL2311070003,dengue_files,2022,Preprints,
MODEL2311070005,dengue_files,2022,Preprints,
MODEL2311070007,dengue_files,2022,Preprints,
MODEL2311070002,dengue_files,2022,Preprints,
MODEL2311070006,dengue_files,2022,Preprints,
MODEL2311070001,dengue_files,2022,Preprints,
MODEL2003160002,dengue_files,2015,Mathematical biosciences,
MODEL2003190001,dengue_files,2014,Mathematical biosciences,
MODEL2203300001,tuberculosis_files,2023,"GigaByte (Hong Kong, China)",
MODEL1507180021,tuberculosis_files,2007,Genome biology,
MODEL2203300002,tuberculosis_files,2023,"GigaByte (Hong Kong, China)",
MODEL1507180018,tuberculosis_files,2010,BMC systems biology,
MODEL1011090002,tuberculosis_files,2010,Molecular systems biology,
MODEL1411110000,tuberculosis_files,2014,Semin. Immunol. 2014 Dec; 26(6): 610-622,
MODEL1011090001,tuberculosis_files,2010,Molecular systems biology,
MODEL1911120004,tuberculosis_files,2019,Journal of theoretical biology,
BIOMD0000001095,tuberculosis_files,2007,BMC systems biology,
BIOMD0000001046,tuberculosis_files,2005,PLoS computational biology,
BIOMD0000000222,tuberculosis_files,2006,Theoretical biology & medical modelling,
BIOMD0000000608,tuberculosis_files,2013,BMC systems biology,
BIOMD0000000221,tuberculosis_files,2006,Theoretical biology & medical modelling,
BIOMD0000000219,tuberculosis_files,2006,Theoretical biology & medical modelling,
BIOMD0000000462,tuberculosis_files,2012,Molecular neurodegeneration,
BIOMD0000000582,tuberculosis_files,2014,PLoS computational biology,
BIOMD0000000287,tuberculosis_files,2010,Molecular systems biology,
BIOMD0000000218,tuberculosis_files,2006,Theoretical biology & medical modelling,
BIOMD0000001034,tuberculosis_files,2007,Bulletin of mathematical biology,
BIOMD0000000581,tuberculosis_files,2012,Science signaling,
BIOMD0000000091,tuberculosis_files,2005,Mechanisms of ageing and development,
MODEL2212160001,covid_files,2022,Viruses,
MODEL2109130003,covid_files,N/A,N/A,
MODEL2503040001,covid_files,2025,Viruses,
MODEL2212310001,covid_files,2021,The Lancet Global Health,
MODEL2504120001,covid_files,2024,Nature communications,
MODEL2209020001,covid_files,N/A,N/A,
MODEL2401170001,covid_files,2024,Biophysical journal,
MODEL2402280001,covid_files,2022,Viruses,
MODEL2203300001,covid_files,2023,"GigaByte (Hong Kong, China)",
MODEL2202240001,covid_files,2023,PLoS computational biology,
MODEL2003020001,covid_files,2020,Bioinformatics,
MODEL2010280002,covid_files,2020,Life Science Alliance,
MODEL2311070004,covid_files,2022,Preprints,
MODEL2203300002,covid_files,2023,"GigaByte (Hong Kong, China)",
MODEL2311070003,covid_files,2022,Preprints,
MODEL2311070005,covid_files,2022,Preprints,
MODEL2311070007,covid_files,2022,Preprints,
MODEL2007210001,covid_files,2021,Life Science Alliance,
MODEL2311070002,covid_files,2022,Preprints,
MODEL2311070006,covid_files,2022,Preprints,
MODEL2311070001,covid_files,2022,Preprints,
MODEL2502220001,covid_files,2026,PloS one,
MODEL2111170001,covid_files,2021,Royal Society open science,
MODEL2202230002,covid_files,2022,Preprint,
BIOMD0000000962,covid_files,2020,"Quantitative biology (Beijing, China)",
BIOMD0000000972,covid_files,2020,Infectious Disease Modelling,
BIOMD0000000957,covid_files,2020,Infectious Disease Modelling,
BIOMD0000000978,covid_files,2020,PloS one,
BIOMD0000000956,covid_files,2020,Proceedings of the National Academy of Sciences of the United States of America,
BIOMD0000000958,covid_files,2020,"Chaos, solitons, and fractals",
BIOMD0000000963,covid_files,2020,Nature medicine,
BIOMD0000000988,covid_files,2020,NPJ systems biology and applications,
BIOMD0000000960,covid_files,2020,PloS one,
BIOMD0000000977,covid_files,2020,"Chaos, solitons, and fractals",
BIOMD0000000982,covid_files,2020,Scientific reports,
BIOMD0000000971,covid_files,2020,Journal of clinical medicine,
BIOMD0000000976,covid_files,2020,"Chaos, solitons, and fractals",
BIOMD0000000974,covid_files,2020,Frontiers in public health,
BIOMD0000000955,covid_files,2020,Nature medicine,
BIOMD0000000984,covid_files,2020,Journal of medical virology,
BIOMD0000000981,covid_files,2020,Infectious diseases of poverty,
BIOMD0000000969,covid_files,2020,Health & place,
BIOMD0000000964,covid_files,2020,BMC research notes,
BIOMD0000000980,covid_files,2020,"Chaos, solitons, and fractals",
BIOMD0000000983,covid_files,2020,Epidemiology and infection,
BIOMD0000000991,covid_files,2020,"Chaos, solitons, and fractals",
BIOMD0000000970,covid_files,2020,Journal of medical virology,
BIOMD0000000979,covid_files,2020,"Chaos, solitons, and fractals",
MODEL2311070004,influenza_files,2022,Preprints,
MODEL2311070003,influenza_files,2022,Preprints,
MODEL2311070005,influenza_files,2022,Preprints,
MODEL2311070007,influenza_files,2022,Preprints,
MODEL2311070002,influenza_files,2022,Preprints,
MODEL2311070006,influenza_files,2022,Preprints,
MODEL2311070001,influenza_files,2022,Preprints,
MODEL1504160000,influenza_files,2011,"Journal of immunology (Baltimore, Md. : 1950)",
MODEL1812040006,influenza_files,2016,PloS one,
MODEL1411130000,influenza_files,2014,PloS one,
MODEL1812040005,influenza_files,2017,Journal of pharmacokinetics and pharmacodynamics,
MODEL1406230000,influenza_files,2009,Journal of virology,
BIOMD0000001045,influenza_files,2022,"Loci/JOMA, Periodicals,  MAA Publications",
BIOMD0000000717,influenza_files,2018,Elsevier BV,
BIOMD0000000529,influenza_files,2014,Journal of theoretical biology,
BIOMD0000000851,influenza_files,2019,Journal of theoretical biology,
BIOMD0000000710,influenza_files,2012,Elsevier BV,
BIOMD0000000708,influenza_files,2017,Mathematical biosciences,
BIOMD0000000528,influenza_files,2014,Journal of theoretical biology,
BIOMD0000000709,influenza_files,2017,Mathematical biosciences,
BIOMD0000000889,influenza_files,2014,Journal of theoretical biology,
BIOMD0000000546,influenza_files,2010,Journal of virology,
BIOMD0000000463,influenza_files,2012,Journal of virology,
BIOMD0000000712,influenza_files,2014,Bio Systems,
BIOMD0000000716,influenza_files,2018,Elsevier BV,
BIOMD0000000865,influenza_files,2019,Frontiers in immunology,
BIOMD0000000711,influenza_files,2007,Journal of theoretical biology,
MODEL2208040001,mpox_files,2023,Bioinformatics Advances,
