model_id,year,status,category,doi
MODEL2503040001,2025,NON_CURATED,hiv_files,
MODEL1805230001,2009,NON_CURATED,hiv_files,
MODEL1302180001,2013,NON_CURATED,hiv_files,
MODEL1006230035,1993,NON_CURATED,hiv_files,
MODEL1006230075,1993,NON_CURATED,hiv_files,
MODEL1006230081,1995,NON_CURATED,hiv_files,
MODEL1006230093,1993,NON_CURATED,hiv_files,
MODEL1006230033,1995,NON_CURATED,hiv_files,
MODEL1812040004,2011,NON_CURATED,hiv_files,
MODEL1812040002,2013,NON_CURATED,hiv_files,
MODEL1006230050,1996,NON_CURATED,hiv_files,
MODEL1302180002,2013,NON_CURATED,hiv_files,
MODEL1006230055,1998,NON_CURATED,hiv_files,
MODEL4028801312,2007,NON_CURATED,hiv_files,
MODEL8102792069,2000,NON_CURATED,hiv_files,
BIOMD0000000874,1993,CURATED,hiv_files,
BIOMD0000000683,1999,CURATED,hiv_files,
BIOMD0000000967,1991,CURATED,hiv_files,
BIOMD0000000573,2014,CURATED,hiv_files,
BIOMD0000000876,2019,CURATED,hiv_files,
BIOMD0000000663,2007,CURATED,hiv_files,
BIOMD0000000872,2019,CURATED,hiv_files,
BIOMD0000000875,2000,CURATED,hiv_files,
BIOMD0000000707,2003,CURATED,hiv_files,
MODEL2311070004,2022,NON_CURATED,dengue_files,
MODEL2311070003,2022,NON_CURATED,dengue_files,
MODEL2311070005,2022,NON_CURATED,dengue_files,
MODEL2311070007,2022,NON_CURATED,dengue_files,
MODEL2311070002,2022,NON_CURATED,dengue_files,
MODEL2311070006,2022,NON_CURATED,dengue_files,
MODEL2311070001,2022,NON_CURATED,dengue_files,
MODEL2003160002,2015,NON_CURATED,dengue_files,
MODEL2003190001,2014,NON_CURATED,dengue_files,
MODEL2203300001,2023,NON_CURATED,tuberculosis_files,
MODEL1507180021,2007,NON_CURATED,tuberculosis_files,
MODEL2203300002,2023,NON_CURATED,tuberculosis_files,
MODEL1507180018,2010,NON_CURATED,tuberculosis_files,
MODEL1011090002,2010,NON_CURATED,tuberculosis_files,
MODEL1411110000,2014,NON_CURATED,tuberculosis_files,
MODEL1011090001,2010,NON_CURATED,tuberculosis_files,
MODEL1911120004,2019,NON_CURATED,tuberculosis_files,
BIOMD0000001095,2007,CURATED,tuberculosis_files,
BIOMD0000001046,2005,CURATED,tuberculosis_files,
BIOMD0000000222,2006,CURATED,tuberculosis_files,
BIOMD0000000608,2013,CURATED,tuberculosis_files,
BIOMD0000000221,2006,CURATED,tuberculosis_files,
BIOMD0000000219,2006,CURATED,tuberculosis_files,
BIOMD0000000462,2012,CURATED,tuberculosis_files,
BIOMD0000000582,2014,CURATED,tuberculosis_files,
BIOMD0000000287,2010,CURATED,tuberculosis_files,
BIOMD0000000218,2006,CURATED,tuberculosis_files,
BIOMD0000001034,2007,CURATED,tuberculosis_files,
BIOMD0000000581,2012,CURATED,tuberculosis_files,
BIOMD0000000091,2005,CURATED,tuberculosis_files,
MODEL2212160001,2022,NON_CURATED,covid_files,
MODEL2109130003,0,NON_CURATED,covid_files,
MODEL2503040001,2025,NON_CURATED,covid_files,
MODEL2212310001,2021,NON_CURATED,covid_files,
MODEL2504120001,2024,NON_CURATED,covid_files,
MODEL2209020001,0,NON_CURATED,covid_files,
MODEL2401170001,2024,NON_CURATED,covid_files,
MODEL2402280001,2022,NON_CURATED,covid_files,
MODEL2203300001,2023,NON_CURATED,covid_files,
